form,kind,meaning,name,original,sex,source
"pet form",Scottish,"noble sort",ALLIE,"French Alison",female,Norman
spelling,Variant,"little Eve",ALLINE,Aline,female,English
spelling,"Medieval English","noble sort",ALLISON,"French Alison",female,Norman
spelling,Variant,"noble sort",ALLISSA,Alissa,female,English
"pet form",Scottish,"noble sort",ALLY,"French Alison",female,Norman
"variant spelling",English,"noble sort",ALLYCIA,Alicia,female,Spanish
"variant spelling",Modern,"noble sort",ALLYSON,"English Allison",female,Medieval
spelling,Variant,nourishing,ALMAH,Alma,female,English
form,Contracted,"nobly famous",ALMIRA,Adelmira,female,Spanish
form,Feminine,"noble and ready",ALPHONSINE,Alphonse,female,French
"feminine form",Anglicized,white,ALVA,"Gaelic unisex Ailbhe",female,Irish
spelling,Variant,"elf friend",ALVENA,"English Alvina",female,Middle
spelling,Variant,"noble sort",ALYCE,Alice,female,English
form,Anglicized,"noble sort",ALYS,Alis,female,Welsh
spelling,Variant,"noble sort",ALYSE,Alice,female,English
"variant spelling",English,"noble sort",ALYSHA,Alicia,female,Spanish
"variant spelling",English,"noble sort",ALYSIA,Alicia,female,Spanish
form,Diminutive,"noble sort",ALYSON,Alys,female,English
"variant spelling",English,"noble sort",ALYSSA,Alicia,female,Spanish
"variant spelling",English,"noble sort",ALYSSIA,Alicia,female,Spanish
spelling,Variant,"defender of mankind",ALYX,"unisex Alex",female,English
"variant spelling",English,work,AMALEA,Amalia,female,German
"variant spelling",English,work,AMALIYA,Amalia,female,German
form,English,work,AMELIA,Amalia,female,German
form,English,work,AMELIE,Amélie,female,French
spelling,Variant,"much loved",AMEY,Amy,female,English
spelling,Variant,"much loved",AMI,Amy,female,English
spelling,Variant,"much loved",AMIE,Amy,female,English
spelling,Variant,work,AMILIA,Amelia,female,English
form,English,"much loved",AMY,Aimée,female,French
spelling,Variant,"gracious beauty",ANABELLA,Annabella,female,English
spelling,Variant,"gracious beauty",ANABELLE,Annabelle,female,English
form,English,resurrection,ANASTACIA,Anastasia,female,Latin
form,Feminine,resurrection,ANASTASIA,Anastasios,female,Greek
form,Pet,"man; warrior",ANDEE,Andrea,female,English
form,Pet,"man; warrior",ANDI,Andrea,female,English
form,Feminine,"man; warrior",ANDRA,Andrew,female,English
form,Feminine,"man; warrior",ANDREA,Andrew,female,English
form,Elaborated,"man; warrior",ANDREANA,Andrea,female,English
form,Pet,"man; warrior",ANDRI,Andriana,female,English
form,Elaborated,"man; warrior",ANDRIANA,Andrea,female,English
form,Elaborated,"man; warrior",ANDRINA,Andrea,female,English
"pet form",Unisex,"man; warrior",ANDY,"Andrew and Andrea",female,English
"variant spelling",English,"favor; grace",ANETA,Anita,female,Spanish
"variant form",English,"favor; grace",ANETTA,Anita,female,Spanish
spelling,Variant,"favor; grace",ANETTE,Annette,female,French
"short form",English,"angel, messenger",ANGE,Angela,female,Latin
form,Feminine,"angel, messenger",ANGELA,Angelus,female,Latin
form,Feminine,angelic,ANGELICA,Angelico,female,Italian
form,Diminutive,"little angel/messenger",ANGELINA,Angela,female,Latin
form,Diminutive,"angel, messenger",ANGELINE,Angèle,female,French
"feminine form",French,angelic,ANGELIQUE,Angelicus,female,Latin
"variant spelling",Feminine,"angel, messenger",ANGELL,"unisex Angel",female,English
"variant spelling",Feminine,"angel, messenger",ANGELLE,"unisex Angel",female,English
"variant spelling",English,"angel, messenger",ANGELLINA,Angelina,female,Latin
"short form",English,"angel, messenger",ANGIE,Angela,female,Latin
"pet form",Spanish,"favor; grace",ANITA,Anna,female,Latin
"elaborated form",English,"favor; grace",ANITRA,Anita,female,Spanish
spelling,Variant,"favor; grace",ANN,Anne,female,French
form,Latin,"favor; grace",ANNA,Hanna,female,Greek
spelling,Variant,"gracious beauty",ANNABEL,Annabelle,female,English
spelling,Variant,"gracious beauty",ANNABELL,Annabelle,female,English
spelling,Variant,"favor; grace",ANNAMAE,Annemae,female,English
spelling,Variant,"favor; grace",ANNAMAY,Annemae,female,English
spelling,Variant,"favor; grace",ANNE-MARIE,Annemarie,female,German
form,French,"favor; grace",ANNE,Anna,female,Latin
form,Diminutive,"favor; grace",ANNETTE,Anne,female,French
"variant spelling",English,"angel, messenger",ANNGELA,Angela,female,Latin
"pet form",English,"favor; grace",ANNIE,Anna,female,Latin
"variant spelling",English,"favor; grace",ANNITA,Anita,female,Spanish
form,Elaborated,"favor; grace",ANNITRA,Anitra,female,English
"variant spelling",English,"favor; grace",ANNITTA,Anita,female,Spanish
spelling,Variant,"favor; grace",ANNMARIE,Annemarie,female,English
"variant form",English,honor,ANNORA,Honora,female,Latin
spelling,Variant,honor,ANORA,Annora,female,English
spelling,Variant,resurrection,ANSTACE,Anstice,female,English/Scottish
form,Pet,resurrection,ANSTEY,Anstice,female,English/Irish
"variant spelling",English,flower,ANTHIA,Anthea,female,Latin
"diminutive form",Feminine,invaluable,ANTOINETTE,Antoine,female,French
"diminutive form",English,invaluable,ANTONETTE,Antonia,female,Latin
form,Feminine,invaluable,ANTONIA,"Latin Antonius",female,Roman
form,Latin,"utterly pure",ARIADNE,Ariadnê,female,Greek
"variant spelling",English,"utterly pure",ARIANA,Arianna,female,Italian
form,Anglicized,"lion of god",ARIEL,"unisex Ari'el",female,Hebrew
form,Feminine,"lion of God",ARIELLA,"unisex Ariel",female,English
form,Feminine,"lion of God",ARIELLE,"unisex Ariel",female,English
spelling,Variant,Ireland,ARIN,Erin,female,English
form,Feminine,excellence,ARISTA,Aristaeus,female,Latin
"variant spelling",Modern,"utterly pure",ARYANA,Ariana,female,English
form,Elaborated,"little noble one",ASCELINA,Aceline,female,English
form,Elaborated,"little noble one",ASCELINE,Aceline,female,English
form,Anglicized,"belonging to the goddess Neith",ASENATH,"Acĕnath",female,Hebrew
form,Short,"ash-tree grove",ASH,"unisex Ashley",female,English
"variant spelling",Feminine,"ash-tree grove",ASHLEE,"unisex Ashley",female,English
"variant spelling",Feminine,"ash-tree grove",ASHLEIGH,"unisex Ashley",female,English
form,Anglicized,"dream; vision",ASHLING,"Gaelic Aisling",female,Irish
spelling,Variant,"ash tree lake",ASHLYNN,Ashlyn,female,English
form,Anglicized,star,ASHTAROTH,Ashtarowth,female,Hebrew
spelling,Variant,star,ASTAROTH,Ashtaroth,female,English
"variant spelling",Feminine,"elf ruler",AUBREE,"unisex Aubrey",female,English
"unisex form",English,"elf ruler",AUBREY,"French Alberi",female,Norman
"variant spelling",Feminine,"elf ruler",AUBRIE,"unisex Aubrey",female,English
spelling,Variant,"noble strength",AUDRA,Audrey,female,English
spelling,Variant,"noble strength",AUDREA,Audrey,female,English
form,Feminine,"August (the month)",AUGUSTA,August,female,English
spelling,Variant,"man; warrior",AUNDRIA,Andrea,female,English
form,Unisex,venerable,AUSTYN,Austin,female,English
spelling,Variant,"alive; living",AVA,Eve,female,English
spelling,Variant,"little Eve",AVALINA,Avaline,female,English
"variant spelling",English,"little Eve",AVALINE,Aveline,female,French
form,Latin,"little Eve",AVELINA,"French Aveline",female,Norman
spelling,Variant,bird,AVICE,Avis,female,English
"variant spelling",English,"island of apples",AVILON,Avalon,female,Celtic
spelling,Variant,"my father is dew",AVITAL,Abital,female,English
"variant spelling",English,alive,AYEESHA,Aisha,female,Arabic
form,Anglicized,forsaken,AZUBAH,Azuwbah,female,Hebrew
spelling,Variant,"sky blue",AZURA,Azure,female,English
"pet form",English,"foreign; strange",BAB,Barbara,female,Greek
"pet form",English,"foreign; strange",BABE,Barbara,female,Greek
form,Pet,"God is my oath",BABETTE,Elizabeth,female,English
"pet form",English,"foreign; strange",BABS,Barbara,female,Greek
"variant spelling",Feminine,bailiff,BAILEE,"unisex Bailey",female,English
spelling,Variant,bailiff,BAILIE,"unisex Bailey",female,English
spelling,Variant,bailiff,BAILY,"unisex Bailey",female,English
spelling,Variant,child,BAMBIE,"unisex Bambi",female,English
"short form",English,"foreign; strange",BARB,Barbara,female,Greek
form,"Medieval English","foreign; strange",BARBARY,Barbara,female,Greek
"pet form",English,"foreign; strange",BARBIE,Barbara,female,Greek
"contracted form",English,"foreign; strange",BARBRA,Barbara,female,Greek
form,Anglicized,spice,BASEMATH,Bosmath,female,Hebrew
form,Anglicized,spice,BASHEMATH,Bosmath,female,Hebrew
form,Anglicized,spice,BASMATH,Bosmath,female,Hebrew
"variant spelling",Feminine,bailiff,BAYLEE,"unisex Bailey",female,English
form,Short,"voyager (through life)",BEA,Beatrix,female,English
form,Pet,"voyager (through life)",BEATIE,Beatrix,female,English
form,English,"voyager (through life)",BEATRIX,Viatrix,female,Latin
form,Short,ensnarer,BECCA,Rebecca,female,English
form,Pet,ensnarer,BECCI,Rebecca,female,English
form,Short,ensnarer,BECKA,Rebecka,female,English
form,Short,ensnarer,BECKAH,Rebeckah,female,English
form,Pet,ensnarer,BECKY,Rebecka,female,English
form,Pet,"voyager (through life)",BEE,Beatrix,female,English
spelling,Variant,ensnarer,BEKKI,Becky,female,English
spelling,Variant,beautiful,BELL,Belle,female,English
"variant spelling",English,"bright serpent",BELLINDA,Belinda,female,German
"variant spelling",English,"bright serpent",BELYNDA,Belinda,female,German
form,Feminine,blessed,BENEDICTA,Benedictus,female,Latin
form,Feminine,blessed,BENJAMINA,Benjamin,female,English
form,Latin,"bringer of victory",BERENICE,"Greek Berenike",female,Macedonian
form,Contracted,"bold as a bear",BERNADETTE,Bernardette,female,French
form,Contracted,"bold as a bear",BERNADINE,Bernardine,female,French
form,Latin,"bringer of victory",BERNICE,Bernike,female,Greek
"variant spelling",English,"bringer of victory",BERNIECE,Bernice,female,Latin
"pet form",English,bright,BERTIE,Bertha,female,German
form,Pet,"God is my oath",BESS,Elizabeth,female,English
form,Pet,"God is my oath",BESSIE,Elizabeth,female,English
spelling,Variant,"God is my oath",BESSY,"Bessie, a pet form of Elizabeth",female,English
form,Short,"God is my oath",BET,Elizabeth,female,English
form,Short,"God is my oath",BETH,Elizabeth,female,English
form,English,"house of dates",BETHANIE,Bethania,female,Greek
form,Anglicized,"house of dates",BETHANY,Bethania,female,Greek
form,Anglicized,"house of God",BETHEL,Beth-El,female,Hebrew
spelling,Variant,"house of dates",BETHNEY,Bethany,female,English
form,Pet,"God is my oath",BETSY,Elizabeth,female,English
form,Pet,"God is my oath",BETTE,Elizabeth,female,English
form,Pet,"God is my oath",BETTIE,Elizabeth,female,English
form,Elaborated,"God is my oath",BETTINA,Betty,female,English
form,Pet,"God is my oath",BETTY,Elizabeth,female,English
spelling,Variant,"God is my oath",BETTYE,Betty,female,English
form,Anglicized,"fair lady",BEVIN,"Gaelic Béibhinn",female,Irish
form,Pet,"exalted one",BIDDY,Bridget,female,English
form,Feminine,will-helmet,BILLIE,Billy,female,English
"pet form",English,"bright serpent",BINDY,Belinda,female,German
spelling,Variant,"daughter of God",BITHIA,Bithiah,female,English
form,Anglicized,"daughter of God",BITHIAH,Bithyah,female,Hebrew
"variant spelling",English,white,BLANCH,Blanche,female,French
form,Anglicized,"little flower",BLANID,"Gaelic Bláthnat",female,Irish
"pet form",Unisex,"bright fame",BOBBI,"Robert and Roberta",female,English
form,Pet,"bright fame",BOBBIE,Roberta,female,English
"variant form",English,victory,BONDUCA,Boudica,female,Celtic
spelling,Variant,broad-chested,BRAIDY,"unisex Brady",female,English
spelling,Variant,brandy,BRANDE,Brandy,female,English
spelling,Variant,brandy,BRANDI,Brandy,female,English
spelling,Variant,brandy,BRANDIE,Brandy,female,English
form,Feminine,"high hill",BREANA,Brian,female,Irish
form,Feminine,"high hill",BREANN,Brian,female,Irish
form,Feminine,"high hill",BREANNA,Brian,female,Irish
form,Feminine,"high hill",BREANNE,Brian,female,Irish
spelling,Variant,"exalted one",BREDA,Breeda,female,English
form,English,"force, strength",BREE,Brígh,female,Irish
form,Anglicized,"exalted one",BREEDA,Bríd,female,Irish
form,Feminine,"high hill",BRENNA,Brian,female,Irish
form,Feminine,"high hill",BRIANNA,Brian,female,Irish
form,Anglicized,"exalted one",BRIDGET,"Gaelic Bríghid",female,Irish
spelling,Variant,"exalted one",BRIDGETTE,Bridget,female,English
"short form",English,"man of God",BRIELLE,Gabrielle,female,French
spelling,Variant,"briar plant",BRIER,"unisex Briar",female,English
spelling,Variant,"to grow, sprout, swell",BRIONY,Bryony,female,English
spelling,Variant,"Little Britain",BRITNEY,Brittany,female,English
form,Pet,"little Britain",BRITT,Brittany,female,English
form,Pet,"little Britain",BRITTA,Brittany,female,English
spelling,Variant,"little Britain",BRITTANI,Brittany,female,English
spelling,Variant,Britain,BRITTANIA,Britannia,female,Latin
spelling,Variant,"little Britain",BRITTNEY,Brittany,female,English
spelling,Variant,"little Britain",BRITTNY,Brittany,female,English
spelling,Variant,"brook, stream",BROOKE,"unisex Brook",female,English
"feminine form",English,"high hill",BRYANA,Brian,female,Irish
"feminine form",English,"high hill",BRYANNA,Brian,female,Irish
"feminine form",English,"high hill",BRYANNE,Brian,female,Irish
form,Pet,"God is my oath",BUFFY,Elizabeth,female,English
"pet form",English,"bringer of victory",BUNNY,Berenice,female,Latin
form,Short,"not evil",CACIA,Acacia,female,English
spelling,Variant,pure,CADY,Katie,female,English
spelling,Variant,slender,CAELIE,Kaylie,female,English
form,Anglicized,pure,CAETLIN,"Gaelic Caitlín",female,Irish
spelling,Variant,slender,CAILEIGH,Kayleigh,female,English
form,Anglicized,girl,CAILYN,Cailín,female,Irish
form,Anglicized,pure,CAITLYN,"Gaelic Caitlín",female,Irish
spelling,Variant,"beautiful flower",CALANTHE,Calantha,female,English
spelling,Variant,"beautiful flower",CALANTHIA,Calantha,female,English
spelling,Variant,slender,CALEIGH,Kayley,female,English
"pet form",English,"most beautiful",CALLIE,Callista,female,Latin
form,Feminine,"attendant (for a temple)",CAMILLA,"Latin Camillus",female,Roman
"unisex form",French,"attendant (for a temple)",CAMILLE,"Latin Camilla",female,Roman
"pet form",English,"attendant (for a temple)",CAMMIE,"Latin Camilla",female,Roman
form,Latin,"prince of servants",CANDACE,"Kandake, which is of foreign origin",female,Greek
"variant spelling",English,"prince of servants",CANDICE,Candace,female,Latin
"variant spelling",English,"prince of servants",CANDIS,Candace,female,Latin
"variant spelling",English,"prince of servants",CANDYCE,Candace,female,Latin
"variant spelling",English,pure,CAREN,Karen,female,Danish
spelling,Variant,"dark one",CAREY,"unisex Cary",female,English
spelling,Variant,"dark one",CARI,"unisex Cary",female,English
"variant spelling",English,pure,CARIN,Karen,female,Danish
spelling,Variant,beloved,CARINE,Careen,female,English
"variant spelling",English,grace,CARIS,Charis,female,Latin
spelling,Variant,grace,CARISSA,Charissa,female,English
form,Pet,beloved,CARITA,Cara,female,English
form,Feminine,man,CARLA,Carl,female,German
form,Pet,man,CARLENE,Carla,female,German
spelling,Variant,man,CARLEY,Carlie,female,English
"pet form",English,man,CARLIE,Carla,female,German
spelling,Variant,man,CARLOTA,Carlotta,female,Italian
form,Pet,man,CARLOTTA,Carla,female,Italian
spelling,Variant,man,CARLY,Carlie,female,English
"variant spelling",Feminine,"little champion",CARLYN,"Gaelic unisex Carlin",female,Irish
"feminine form",Latin,garden-land,CARMEL,"unisex Karmel",female,Hebrew
form,English,man,CAROL,Carole,female,French
form,Pet,man,CAROLINE,Carole,female,French
"variant spelling",English,man,CAROLYN,Caroline,female,French
spelling,Variant,man,CARON,Caren,female,English
spelling,Variant,beloved,CARREEN,Careen,female,English
"pet form",English,man,CARRIE,Caroline,female,French
spelling,Variant,man,CARRY,Carrie,female,English
spelling,Variant,man,CARYL,Carol,female,English
form,English,pure,CARYN,Karen,female,Danish
spelling,Variant,"she who entangles men",CASEY,Cassie,female,English
"short form",English,"she who entangles men",CASS,Cassandra,female,Latin
form,Latin,"she who entangles men",CASSANDRA,Kassandra,female,Greek
form,Latin,cassia,CASSIA,Qetsiyah,female,Hebrew
spelling,Variant,cassia,CASSIAH,Cassia,female,Latin
form,Pet,"she who entangles men",CASSIE,Cass,female,English
spelling,Variant,pure,CATE,Kate,female,English
form,Variant,pure,CATELINE,"French Caterine",female,Old
"short form",English,pure,CATH,Catherine,female,French
spelling,Variant,pure,CATHARINE,Catherine,female,French
form,Anglicized,pure,CATHLEEN,"Gaelic Caitlín",female,Irish
"variant spelling",English,pure,CATHRYN,Catharine,female,French
"pet form",English,pure,CATHY,Catharine,female,French
form,Contracted,pure,CATRINA,Catriona,female,English
form,Anglicized,pure,CATRIONA,"Gaelic Catríona and Scottish Gaelic Catrìona, both",female,Irish
spelling,Variant,slender,CAYLEY,Kayley,female,English
spelling,Variant,girl,CAYLIN,Kaylin,female,English
form,Anglicized,"little black one",CEARA,"Gaelic Ciara",female,Irish
spelling,Variant,"little black one",CEARRA,Ceara,female,English
spelling,Variant,blind,CECELIA,Cecilia,female,English
form,English,blind,CECILIA,Cæcilia,female,Latin
form,English,heavenly,CELESTE,Céleste,female,French
form,English,heavenly,CELESTINE,Célestine,female,French
form,Contracted,blind,CELIA,"English Cecilia",female,English
spelling,Variant,pipe,CHANELLE,Chanel,female,English
"variant spelling",English,"stony place",CHANTALE,Chantal,female,French
"variant spelling",English,"stony place",CHANTEL,Chantal,female,French
form,Elaborated,"stony place",CHANTELLE,Chantel,female,English
form,Latin,"charm, grace, kindness",CHARIS,Kharis,female,Greek
"elaborated form",English,grace,CHARISSA,Charis,female,Latin
form,Variant,dear,CHARITA,Charity,female,English
form,Pet,man,CHARLA,Charlene,female,English
spelling,Variant,man,CHARLEEN,Charlene,female,English
form,English,man,CHARLENE,Charline,female,French
spelling,Variant,man,CHARLEY,"unisex Charlie",female,English
"pet form",Unisex,man,CHARLIE,"Charles and Charlene",female,English
form,Feminine,man,CHARLOTTE,Charlot,female,French
spelling,Variant,purity,CHASITY,Chastity,female,English
"short form",English,"who is like God?",CHELLE,Michelle,female,French
spelling,Variant,"landing place",CHELSEY,Chelsea,female,English
spelling,Variant,"landing place",CHELSIE,Chelsea,female,English
form,Short,"darling beryl",CHER,"Cheryl, probably",female,English
form,Pet,darling,CHERETTE,Cherie,female,English
spelling,Variant,darling,CHERI,Cherie,female,English
spelling,Variant,cherry,CHERICE,Cherise,female,English
"variant spelling",English,cherry,CHERISE,Cerise,female,French
spelling,Variant,"little � ahíya",CHEYANNE,"unisex Cheyenne",female,English
form,Latin,"green shoot",CHLOE,"Chloē",female,Greek
form,Latin,"green buds",CHLORIS,Khloris,female,Greek
form,Feminine,"good fortune",CHONSIE,Chauncey,female,English
"pet form",English,believer,CHRISSIE,Christine,female,French
spelling,Variant,believer,CHRISSY,Chrissie,female,English
form,Contracted,believer,CHRISTA,Christina,female,Latin
spelling,Variant,believer,CHRISTABEL,Christabelle,female,English
spelling,Variant,"crystal, ice",CHRISTAL,Crystal,female,English
spelling,Variant,"crystal, ice",CHRISTEL,Crystal,female,English
