"id","name","derivation","form","kind","meaning","original","sex","source"
"28","Abegayle","Variant spelling of English Abigail: father rejoices","spelling","Variant","father rejoices","Abigail","female","English"
"29","Abell","Variant spelling of English Abel: vanity","spelling","Variant","vanity","Abel","male","English"
"30","Abi","Anglicized form of Hebrew Abiy: my father","form","Anglicized","my father","Abiy","female","Hebrew"
"31","Abia","Anglicized form of Hebrew unisex Abiyah: Yahweh is my father","form","Anglicized","Yahweh is my father","unisex Abiyah","female","Hebrew"
"32","Abia","Anglicized form of Hebrew unisex Abiyah: Yahweh is my father","form","Anglicized","Yahweh is my father","unisex Abiyah","male","Hebrew"
"33","Abiah","Anglicized form of Hebrew unisex Abiyah: Yahweh is my father","form","Anglicized","Yahweh is my father","unisex Abiyah","female","Hebrew"
"34","Abiah","Anglicized form of Hebrew unisex Abiyah: Yahweh is my father","form","Anglicized","Yahweh is my father","unisex Abiyah","male","Hebrew"
"35","Abida","Anglicized form of Hebrew Abiyda: father of knowledge","form","Anglicized","father of knowledge","Abiyda","male","Hebrew"
"36","Abidah","Variant spelling of English Abida: father of knowledge","spelling","Variant","father of knowledge","Abida","male","English"
"37","Abidan","Anglicized form of Hebrew Abiydan: my father is judge","form","Anglicized","my father is judge","Abiydan","male","Hebrew"
"38","Abiel","Anglicized form of Hebrew Abiy'el: El (God) is (my) father","form","Anglicized","El (God) is (my) father","Abiy'el","male","Hebrew"
"39","Abigail","Anglicized form of Hebrew Abigayil: father rejoices","form","Anglicized","father rejoices","Abigayil","female","Hebrew"
"40","Abigale","Variant spelling of English Abigail: father rejoices","spelling","Variant","father rejoices","Abigail","female","English"
"41","Abigall","Variant spelling of English Abigail: father rejoices","spelling","Variant","father rejoices","Abigail","female","English"
"42","Abigayle","Variant spelling of English Abigail: father rejoices","spelling","Variant","father rejoices","Abigail","female","English"
"43","Abigil","Variant spelling of English Abigail: father rejoices","spelling","Variant","father rejoices","Abigail","female","English"
"44","Abihail","Anglicized form of Hebrew unisex Abiyhayil: father of might","form","Anglicized","father of might","unisex Abiyhayil","female","Hebrew"
"45","Abihail","Anglicized form of Hebrew unisex Abiyhayil: father of might","form","Anglicized","father of might","unisex Abiyhayil","male","Hebrew"
"46","Abihu","Anglicized form of Hebrew Abiyhuw: he is (my) father","form","Anglicized","he is (my) father","Abiyhuw","male","Hebrew"
"47","Abijah","Anglicized form of Hebrew unisex Abiyah: Yahweh is my father","form","Anglicized","Yahweh is my father","unisex Abiyah","female","Hebrew"
"48","Abijah","Anglicized form of Hebrew unisex Abiyah: Yahweh is my father","form","Anglicized","Yahweh is my father","unisex Abiyah","male","Hebrew"
"49","Abimael","Anglicized form of Hebrew Abiyma'el: my father is El (God)","form","Anglicized","my father is El (God)","Abiyma'el","male","Hebrew"
"50","Abimelech","Anglicized form of Hebrew Abiymelek: Melek is father","form","Anglicized","Melek is father","Abiymelek","male","Hebrew"
"51","Abinoam","Anglicized form of Hebrew Abiyno'am: father of pleasantness","form","Anglicized","father of pleasantness","Abiyno'am","male","Hebrew"
"52","Abiram","Anglicized form of Hebrew Abiyram: my father is exalted","form","Anglicized","my father is exalted","Abiyram","male","Hebrew"
"53","Abishag","Anglicized form of Hebrew Abiyshag: my father is a wanderer","form","Anglicized","my father is a wanderer","Abiyshag","female","Hebrew"
"54","Abishai","Anglicized form of Hebrew Abiyshay: my father is Jesse","form","Anglicized","my father is Jesse","Abiyshay","male","Hebrew"
"55","Abishalom","Anglicized form of Hebrew Abiyshalowm: father of peace","form","Anglicized","father of peace","Abiyshalowm","male","Hebrew"
"56","Abital","Anglicized form of Hebrew Abiytal: my father is dew","form","Anglicized","my father is dew","Abiytal","female","Hebrew"
"57","Abiud","Anglicized form of Greek Abioud: my father is majesty","form","Anglicized","my father is majesty","Abioud","male","Greek"
"58","Able","Variant spelling of English Abel: vanity","spelling","Variant","vanity","Abel","male","English"
"59","Abnar","English variant spelling of Hebrew Abner: father of light","variant spelling","English","father of light","Abner","male","Hebrew"
"60","Abnor","English variant spelling of Hebrew Abner: father of light","variant spelling","English","father of light","Abner","male","Hebrew"
"61","Abnur","English variant spelling of Hebrew Abner: father of light","variant spelling","English","father of light","Abner","male","Hebrew"
"62","Abot","Variant spelling of English Abbott: father","spelling","Variant","father","Abbott","male","English"
"63","Abott","Variant spelling of English Abbott: father","spelling","Variant","father","Abbott","male","English"
"64","Abra","Short form of Hebrew Abrahamit: father of a multitude","form","Short","father of a multitude","Abrahamit","female","Hebrew"
"65","Abrianna","English feminine form of Hebrew Abraham: father of a multitude","feminine form","English","father of a multitude","Abraham","female","Hebrew"
"66","Absalom","Contracted form of English Abishalom: father of peace","form","Contracted","father of peace","Abishalom","male","English"
"67","Acer","Pet form of English Ace: number one","form","Pet","number one","Ace","male","English"
"68","Acey","Pet form of English Ace: number one","form","Pet","number one","Ace","male","English"
"69","Achan","Anglicized form of Hebrew Akan: one who troubles","form","Anglicized","one who troubles","Akan","male","Hebrew"
"70","Achar","Anglicized form of Hebrew Akar: one who troubles","form","Anglicized","one who troubles","Akar","male","Hebrew"
"71","Acie","Pet form of English Ace: number one","form","Pet","number one","Ace","male","English"
"72","Acke","Short form of English Ackerley: oak meadow","form","Short","oak meadow","Ackerley","male","English"
"73","Ackerlea","Variant spelling of English Ackerley: oak meadow","spelling","Variant","oak meadow","Ackerley","male","English"
"74","Ackerly","Variant spelling of English Ackerley: oak meadow","spelling","Variant","oak meadow","Ackerley","male","English"
"75","Acklea","Variant spelling of English Ackley: oak meadow","spelling","Variant","oak meadow","Ackley","male","English"
"76","Ackley","Contracted form of English Ackerley: oak meadow","form","Contracted","oak meadow","Ackerley","male","English"
"77","Acklie","Variant spelling of English Ackley: oak meadow","spelling","Variant","oak meadow","Ackley","male","English"
"78","Adalia","Anglicized form of Hebrew Adalya, of Persian derivation: I shall be drawn up of God","form","Anglicized","I shall be drawn up of God","Adalya, of Persian derivation","male","Hebrew"
"79","Adaliah","Variant spelling of English Adalia: I shall be drawn up of God","spelling","Variant","I shall be drawn up of God","Adalia","male","English"
"80","Adaline","English variant spelling of French Adeline: little noble","variant spelling","English","little noble","Adeline","female","French"
"81","Adallina","English variant spelling of Italian Adelina: noble","variant spelling","English","noble","Adelina","female","Italian"
"82","Adamina","Scottish feminine form of Hebrew Adam: earth","feminine form","Scottish","earth","Adam","female","Hebrew"
"83","Adare","English variant spelling of Scottish Adair: the ford of the oaks","variant spelling","English","the ford of the oaks","Adair","male","Scottish"
"84","Addam","English variant spelling of Hebrew Adam: earth","variant spelling","English","earth","Adam","male","Hebrew"
"85","Addie","Pet form of English Adelaide: noble sort","form","Pet","noble sort","Adelaide","female","English"
"86","Addy","Pet form of English Adelaide: noble sort","form","Pet","noble sort","Adelaide","female","English"
"87","Adela","Latin form of German Adala: noble","form","Latin","noble","Adala","female","German"
"88","Adelia","Variant form of Latin Adela: noble","form","Variant","noble","Adela","female","Latin"
"89","Adelice","English variant form of French Adelais: noble sort","variant form","English","noble sort","Adelais","female","French"
"90","Adelicia","Elaborated form of English Adelice: noble sort","form","Elaborated","noble sort","Adelice","female","English"
"91","Adelle","French form of German Adala: noble","form","French","noble","Adala","female","German"
"92","Adelphie","English form of French Adelphe: born of the same womb; sibling","form","English","born of the same womb; sibling","Adelphe","female","French"
"93","Adelyna","English variant spelling of Italian/Spanish Adelina: little noble","variant spelling","English","little noble","Adelina","female","Italian/Spanish"
"94","Adena","Feminine form of English Aden: fire","form","Feminine","fire","Aden","female","English"
"95","Adenah","Variant spelling of English Adena: fire","spelling","Variant","fire","Adena","female","English"
"96","Adene","Variant spelling of English Adena: fire","spelling","Variant","fire","Adena","female","English"
"97","Adeno","Variant spelling of English Adino: soft, delicate","spelling","Variant","soft, delicate","Adino","male","English"
"98","Adilene","English variant spelling of French Adeline: noble","variant spelling","English","noble","Adeline","female","French"
"99","Adin","Anglicized form of Hebrew Adiyn: dainty, delicate","form","Anglicized","dainty, delicate","Adiyn","male","Hebrew"
"100","Adina","Anglicized form of Hebrew unisex Adiyna: slender","form","Anglicized","slender","unisex Adiyna","female","Hebrew"
"101","Adina","Anglicized form of Hebrew unisex Adiyna: slender","form","Anglicized","slender","unisex Adiyna","male","Hebrew"
"102","Adino","Anglicized form of Hebrew Adiynow: soft, delicate","form","Anglicized","soft, delicate","Adiynow","male","Hebrew"
"103","Adison","Variant spelling of English unisex Addison: son of Adam","spelling","Variant","son of Adam","unisex Addison","female","English"
"104","Adison","Variant spelling of English unisex Addison: son of Adam","spelling","Variant","son of Adam","unisex Addison","male","English"
"105","Adisson","Variant spelling of English unisex Addison: son of Adam","spelling","Variant","son of Adam","unisex Addison","female","English"
"106","Adisson","Variant spelling of English unisex Addison: son of Adam","spelling","Variant","son of Adam","unisex Addison","male","English"
"107","Adlai","Anglicized form of Hebrew Adlay: justice of God","form","Anglicized","justice of God","Adlay","male","Hebrew"
"108","Admiranda","Elaborated form of English Miranda: worthy of admiration","form","Elaborated","worthy of admiration","Miranda","female","English"
"109","Adolph","English form of Latin Adolphus: noble wolf","form","English","noble wolf","Adolphus","male","Latin"
"110","Adolpha","Feminine form of Latin Adolphus: noble wolf","form","Feminine","noble wolf","Adolphus","female","Latin"
"111","Adonia","Variant spelling of English Adonijah: my Lord is Jehovah","spelling","Variant","my Lord is Jehovah","Adonijah","male","English"
"112","Adonijah","Anglicized form of Hebrew Adoniyah: my Lord is Jehovah","form","Anglicized","my Lord is Jehovah","Adoniyah","male","Hebrew"
"113","Adrea","Variant spelling of English Adria: from Hadria","spelling","Variant","from Hadria","Adria","female","English"
"114","Adreana","Variant spelling of Latin Adriana: from Hadria","spelling","Variant","from Hadria","Adriana","female","Latin"
"115","Adreea","Variant spelling of English Adria: from Hadria","spelling","Variant","from Hadria","Adria","female","English"
"116","Adria","Feminine form of English Adrian: from Hadria","form","Feminine","from Hadria","Adrian","female","English"
"117","Adrianah","English variant spelling of Latin Adriana: from Hadria","variant spelling","English","from Hadria","Adriana","female","Latin"
"118","Adriane","Feminine form of English Adrian: from Hadria","form","Feminine","from Hadria","Adrian","female","English"
"119","Adrianna","Polish feminine form of Latin Adrianus: from Hadria","feminine form","Polish","from Hadria","Adrianus","female","Latin"
"120","Adriannah","Feminine form of English Adrian: from Hadria","form","Feminine","from Hadria","Adrian","female","English"
"121","Adrianne","Feminine form of English Adrian: from Hadria","form","Feminine","from Hadria","Adrian","female","English"
"122","Adrie","Pet form of English Adriane: from Hadria","form","Pet","from Hadria","Adriane","female","English"
"123","Aerynn","Variant spelling of English Aeryn: Ireland","spelling","Variant","Ireland","Aeryn","female","English"
"124","Affrica","Variant spelling of English Africa: land of the Afri","spelling","Variant","land of the Afri","Africa","female","English"
"125","Affricah","Variant spelling of English Africa: land of the Afri","spelling","Variant","land of the Afri","Africa","female","English"
"126","Affrika","Variant spelling of English Africa: land of the Afri","spelling","Variant","land of the Afri","Africa","female","English"
"127","Affrikah","Variant spelling of English Africa: land of the Afri","spelling","Variant","land of the Afri","Africa","female","English"
"128","Africah","Variant spelling of English Africa: land of the Afri","spelling","Variant","land of the Afri","Africa","female","English"
"129","Afrika","Variant spelling of English Africa: land of the Afri","spelling","Variant","land of the Afri","Africa","female","English"
"130","Afrikah","Variant spelling of English Africa: land of the Afri","spelling","Variant","land of the Afri","Africa","female","English"
"131","Agas","Medieval English form of Latin Agatha: good","form","Medieval English","good","Agatha","female","Latin"
"132","Agatha","Latin form of Greek Agathe: good","form","Latin","good","Agathe","female","Greek"
"133","Aggi","Variant spelling of English Aggie: chaste","spelling","Variant","chaste","Aggie","female","English"
"134","Aggy","Variant spelling of English Aggie: chaste","spelling","Variant","chaste","Aggie","female","English"
"135","Aggye","Variant spelling of English Aggie: chaste","spelling","Variant","chaste","Aggie","female","English"
"136","Agnus","Variant spelling of English Agnes: chaste; holy","spelling","Variant","chaste; holy","Agnes","female","English"
"137","Ahab","Anglicized form of Hebrew Ach'ab: brother of father; uncle","form","Anglicized","brother of father; uncle","Ach'ab","male","Hebrew"
"138","Ahaziah","Anglicized form of Hebrew Achazyah: God holds","form","Anglicized","God holds","Achazyah","male","Hebrew"
"139","Ahearn","Variant spelling of English Ahern: lord of horses","spelling","Variant","lord of horses","Ahern","male","English"
"140","Aherin","Variant spelling of English Ahern: lord of horses","spelling","Variant","lord of horses","Ahern","male","English"
"141","Aherne","Variant spelling of English Ahern: lord of horses","spelling","Variant","lord of horses","Ahern","male","English"
"142","Ahiam","Anglicized form of Hebrew Achiyam: mother's brother","form","Anglicized","mother's brother","Achiyam","male","Hebrew"
"143","Ahian","Anglicized form of Hebrew Achyan: brotherly","form","Anglicized","brotherly","Achyan","male","Hebrew"
"144","Ahiram","Anglicized form of Hebrew Achiyram: brother of height","form","Anglicized","brother of height","Achiyram","male","Hebrew"
"145","Aiah","Anglicized form of Hebrew unisex Ayah: falcon","form","Anglicized","falcon","unisex Ayah","female","Hebrew"
"146","Aiah","Anglicized form of Hebrew unisex Ayah: falcon","form","Anglicized","falcon","unisex Ayah","male","Hebrew"
"147","Aiden","Variant spelling of English Aidan: little fire","spelling","Variant","little fire","Aidan","male","English"
"148","Aila","Pet form of English Aileen: little Eve","form","Pet","little Eve","Aileen","female","English"
"149","Ailee","Short form of English Aileen: little Eve","form","Short","little Eve","Aileen","female","English"
"150","Ailene","Variant spelling of English Aileen: little Eve","spelling","Variant","little Eve","Aileen","female","English"
"151","Ailey","Pet form of English Aileen: little Eve","form","Pet","little Eve","Aileen","female","English"
"152","Ailie","Pet form of English Aileen: little Eve","form","Pet","little Eve","Aileen","female","English"
"153","Ailsa","Anglicized form of Scottish Gaelic Ealasaid: God is my oath","form","Anglicized","God is my oath","Gaelic Ealasaid","female","Scottish"
"154","Ailse","Variant spelling of English Ailsa: elf victory","spelling","Variant","elf victory","Ailsa","female","English"
"155","Ailsie","Variant spelling of English Ailsa: elf victory","spelling","Variant","elf victory","Ailsa","female","English"
"156","Aimerey","English variant spelling of French Aimery: home-ruler","variant spelling","English","home-ruler","Aimery","male","French"
"157","Aimery","English variant spelling of Norman French Aimeri: home-ruler","variant spelling","English","home-ruler","French Aimeri","male","Norman"
"158","Aimey","Variant spelling of English Amy: much loved","spelling","Variant","much loved","Amy","female","English"
"159","Aimie","Variant spelling of English Amy: much loved","spelling","Variant","much loved","Amy","female","English"
"160","Ainslie","Variant spelling of Scottish unisex Ainsley: hermitage meadow","spelling","Variant","hermitage meadow","unisex Ainsley","female","Scottish"
"161","Airlea","Elaborated form of English Airla: ethereal","form","Elaborated","ethereal","Airla","female","English"
"162","Airlia","Elaborated form of English Airla: ethereal","form","Elaborated","ethereal","Airla","female","English"
"163","Aislin","Variant spelling of Irish Gaelic Aisling: dream; vision","spelling","Variant","dream; vision","Gaelic Aisling","female","Irish"
"164","Aislinn","Variant spelling of Irish Gaelic Aisling: dream; vision","spelling","Variant","dream; vision","Gaelic Aisling","female","Irish"
"165","Aladdin","Anglicized form of Arabic Ala Al-din: nobility of faith","form","Anglicized","nobility of faith","Ala Al-din","male","Arabic"
"166","Alana","English feminine form of Celtic Alan: little rock","feminine form","English","little rock","Alan","female","Celtic"
"167","Alanis","English feminine form of Celtic Alan: little rock","feminine form","English","little rock","Alan","female","Celtic"
"168","Alann","English variant spelling of Celtic Alan: little rock","variant spelling","English","little rock","Alan","male","Celtic"
"169","Alanna","Variant spelling of English Alana: little rock","spelling","Variant","little rock","Alana","female","English"
"170","Alannah","Variant spelling of English Alanna: little rock","spelling","Variant","little rock","Alanna","female","English"
"171","Alannis","Variant spelling of English Alanis: little rock","spelling","Variant","little rock","Alanis","female","English"
"172","Alberta","Feminine form of English Albert: bright nobility","form","Feminine","bright nobility","Albert","female","English"
"173","Albertine","Feminine form of French Albert: bright nobility","form","Feminine","bright nobility","Albert","female","French"
"174","Albina","Feminine form of English Albin: like Albus","form","Feminine","like Albus","Albin","female","English"
"175","Alby","Pet form of English Alban: like Albus","form","Pet","like Albus","Alban","male","English"
"176","Alden","Variant spelling of Middle English Aldin: old friend","spelling","Variant","old friend","English Aldin","male","Middle"
"177","Aldford","Variant spelling of Old English Alford: old river-ford","spelling","Variant","old river-ford","English Alford","male","Old"
"178","Aldin","Variant spelling of Middle English Aldine: old friend","spelling","Variant","old friend","English Aldine","male","Middle"
"179","Aldis","Variant spelling of Old English Aldous: from the old house","spelling","Variant","from the old house","English Aldous","male","Old"
"180","Aldon","Variant spelling of Middle English Alden: old friend","spelling","Variant","old friend","English Alden","male","Middle"
"181","Aldus","Variant spelling of Old English Aldous, probably: from the old house","spelling","Variant","from the old house","English Aldous, probably","male","Old"
"182","Aldwen","Variant spelling of Middle English Aldwin: old friend","spelling","Variant","old friend","English Aldwin","male","Middle"
"183","Alea","English variant spelling of Arabic Aliya: the high, exalted one","variant spelling","English","the high, exalted one","Aliya","female","Arabic"
"184","Alec","Short form of English Alexander: defender of mankind","form","Short","defender of mankind","Alexander","male","English"
"185","Aleck","Short form of English Alexander: defender of mankind","form","Short","defender of mankind","Alexander","male","English"
"186","Aleen","Variant spelling of English Aileen: little Eve","spelling","Variant","little Eve","Aileen","female","English"
"187","Aleesha","English variant spelling of Spanish Alicia: noble sort","variant spelling","English","noble sort","Alicia","female","Spanish"
"188","Alen","English variant spelling of Celtic Alan: little rock","variant spelling","English","little rock","Alan","male","Celtic"
"189","Alene","Variant spelling of English Aileen: little Eve","spelling","Variant","little Eve","Aileen","female","English"
"190","Aleric","English variant spelling of Visigothic Alaric: all-powerful; ruler of all","variant spelling","English","all-powerful; ruler of all","Alaric","male","Visigothic"
"191","Alerick","English variant spelling of Visigothic Alaric: all-powerful; ruler of all","variant spelling","English","all-powerful; ruler of all","Alaric","male","Visigothic"
"192","Alesha","English variant spelling of Spanish Alicia: noble sort","variant spelling","English","noble sort","Alicia","female","Spanish"
"193","Aletha","Variant spelling of English Alethea: truth","spelling","Variant","truth","Alethea","female","English"
"194","Alexa","English and Latin short form of of Alexandra: defender of mankind","short form","English and Latin","defender of mankind","Alexandra","female","of"
"195","Alexander","Anglicized form of Latin Alexandrus (Greek Alexandros): defender of mankind","form","Anglicized","defender of mankind","Alexandrus (Greek Alexandros)","male","Latin"
"196","Alexandra","Feminine form of English Alexander: defender of mankind","form","Feminine","defender of mankind","Alexander","female","English"
"197","Alexandrea","Variant spelling of Latin Alexandria: defender of mankind","spelling","Variant","defender of mankind","Alexandria","female","Latin"
"198","Alexia","Feminine form of Latin Alexius: defender","form","Feminine","defender","Alexius","female","Latin"
"199","Alexina","Pet form of Latin Alexia: defender","form","Pet","defender","Alexia","female","Latin"
"200","Alexis","Unisex contracted form of Latin Alexius: defender","contracted form","Unisex","defender","Alexius","female","Latin"
"201","Alexus","Unisex contracted form of Latin Alexius: defender","contracted form","Unisex","defender","Alexius","female","Latin"
"202","Alf","Short form of English Alfred: elf counsel","form","Short","elf counsel","Alfred","male","English"
"203","Alfie","Pet form of English Alfred: elf counsel","form","Pet","elf counsel","Alfred","male","English"
"204","Alfreda","Feminine form of English Alfred: elf counsel","form","Feminine","elf counsel","Alfred","female","English"
"205","Alfrid","Variant spelling of English Alfred: elf counsel","spelling","Variant","elf counsel","Alfred","male","English"
"206","Alfy","Pet form of English Alfred: elf counsel","form","Pet","elf counsel","Alfred","male","English"
"207","Alia","Variant spelling of English Aliah: to ascend, to go up","spelling","Variant","to ascend, to go up","Aliah","female","English"
"208","Aliah","Anglicized form of Hebrew Aliya: to ascend, to go up","form","Anglicized","to ascend, to go up","Aliya","female","Hebrew"
"209","Alic","Short form of English Alexander: defender of mankind","form","Short","defender of mankind","Alexander","male","English"
"210","Alica","Slovak form of English Alice: noble sort","form","Slovak","noble sort","Alice","female","English"
"211","Alice","Modern form of English Adelaide: noble sort","form","Modern","noble sort","Adelaide","female","English"
"212","Alicia","Spanish equivalent of English Alice: noble sort","equivalent","Spanish","noble sort","Alice","female","English"
"213","Alick","Short form of English Alexander: defender of mankind","form","Short","defender of mankind","Alexander","male","English"
"214","Alik","Short form of English Alexander: defender of mankind","form","Short","defender of mankind","Alexander","male","English"
"215","Aline","Variant spelling of English Aileen: little Eve","spelling","Variant","little Eve","Aileen","female","English"
"216","Alis","Short form of English Alisa: noble sort","form","Short","noble sort","Alisa","female","English"
"217","Alisa","Variant form of English Alice: noble sort","form","Variant","noble sort","Alice","female","English"
"218","Alise","Latvian equivalent of English Alice: noble sort","equivalent","Latvian","noble sort","Alice","female","English"
"219","Alisha","English variant spelling of Spanish Alicia: noble sort","variant spelling","English","noble sort","Alicia","female","Spanish"
"220","Alishia","English variant spelling of Spanish Alicia: noble sort","variant spelling","English","noble sort","Alicia","female","Spanish"
"221","Alisia","English variant spelling of Spanish Alicia: noble sort","variant spelling","English","noble sort","Alicia","female","Spanish"
"222","Alissa","English variant spelling of Spanish Alicia: noble sort","variant spelling","English","noble sort","Alicia","female","Spanish"
"223","Alisya","English variant spelling of Spanish Alicia: noble sort","variant spelling","English","noble sort","Alicia","female","Spanish"
"224","Alivia","Variant spelling of English Olivia, probably: elf army","spelling","Variant","elf army","Olivia, probably","female","English"
"225","Alix","Variant spelling of English unisex Alex: defender of mankind","spelling","Variant","defender of mankind","unisex Alex","female","English"
"226","Alix","Variant spelling of English unisex Alex: defender of mankind","spelling","Variant","defender of mankind","unisex Alex","male","English"
"227","Allan","English variant spelling of Celtic Alan: little rock","variant spelling","English","little rock","Alan","male","Celtic"
"228","Allana","Variant spelling of English Alana: little rock","spelling","Variant","little rock","Alana","female","English"
"229","Allannah","Variant spelling of English Alannah: little rock","spelling","Variant","little rock","Alannah","female","English"
"230","Allard","Variant spelling of Middle English and Old French Aillard: noble strength","spelling","Variant","noble strength","English and Old French Aillard","male","Middle"
"231","Allaric","English variant spelling of Visigothic Alaric: all-powerful; ruler of all","variant spelling","English","all-powerful; ruler of all","Alaric","male","Visigothic"
"232","Allarick","English variant spelling of Visigothic Alaric: all-powerful; ruler of all","variant spelling","English","all-powerful; ruler of all","Alaric","male","Visigothic"
"233","Allaster","Anglicized form of Gaelic Alaster: defender of mankind","form","Anglicized","defender of mankind","Alaster","male","Gaelic"
"234","Allastir","Anglicized form of Gaelic Alaster: defender of mankind","form","Anglicized","defender of mankind","Alaster","male","Gaelic"
"235","Alleen","Variant spelling of English Aline: little Eve","spelling","Variant","little Eve","Aline","female","English"
"236","Allen","English variant spelling of Celtic Alan: little rock","variant spelling","English","little rock","Alan","male","Celtic"
"237","Allene","Variant spelling of English Aline: little Eve","spelling","Variant","little Eve","Aline","female","English"
"238","Alleric","English variant spelling of Visigothic Alaric: all-powerful; ruler of all","variant spelling","English","all-powerful; ruler of all","Alaric","male","Visigothic"
"239","Allerick","English variant spelling of Visigothic Alaric: all-powerful; ruler of all","variant spelling","English","all-powerful; ruler of all","Alaric","male","Visigothic"
"240","Allgar","Variant spelling of Middle English Algar: elf spear","spelling","Variant","elf spear","English Algar","male","Middle"
"241","Allger","Variant spelling of Middle English Algar: elf spear","spelling","Variant","elf spear","English Algar","male","Middle"
"242","Allie","Scottish pet form of Norman French Alison: noble sort","pet form","Scottish","noble sort","French Alison","female","Norman"
"243","Allin","English variant spelling of Celtic Alan: little rock","variant spelling","English","little rock","Alan","male","Celtic"
"244","Alline","Variant spelling of English Aline: little Eve","spelling","Variant","little Eve","Aline","female","English"
"245","Allison","Medieval English spelling of Norman French Alison: noble sort","spelling","Medieval English","noble sort","French Alison","female","Norman"
"246","Allissa","Variant spelling of English Alissa: noble sort","spelling","Variant","noble sort","Alissa","female","English"
"247","Allistair","Anglicized form of Scottish Gaelic Alastair: defender of mankind","form","Anglicized","defender of mankind","Gaelic Alastair","male","Scottish"
"248","Allister","Anglicized form of Gaelic Alaster: defender of mankind","form","Anglicized","defender of mankind","Alaster","male","Gaelic"
"249","Allistir","Anglicized form of Gaelic Alaster: defender of mankind","form","Anglicized","defender of mankind","Alaster","male","Gaelic"
"250","Allon","Anglicized form of Hebrew Allown: oak tree","form","Anglicized","oak tree","Allown","male","Hebrew"
"251","Allric","English variant spelling of Visigothic Alaric: all-powerful; ruler of all","variant spelling","English","all-powerful; ruler of all","Alaric","male","Visigothic"
"252","Ally","Scottish pet form of Norman French Alison: noble sort","pet form","Scottish","noble sort","French Alison","female","Norman"
"253","Allycia","English variant spelling of Spanish Alicia: noble sort","variant spelling","English","noble sort","Alicia","female","Spanish"
"254","Allyn","English variant spelling of Celtic Alan: little rock","variant spelling","English","little rock","Alan","male","Celtic"
"255","Allysdair","Anglicized form of Irish Gaelic Alasdair: defender of mankind","form","Anglicized","defender of mankind","Gaelic Alasdair","male","Irish"
"256","Allysdare","Anglicized form of Irish Gaelic Alasdair: defender of mankind","form","Anglicized","defender of mankind","Gaelic Alasdair","male","Irish"
"257","Allyson","Modern variant spelling of Medieval English Allison: noble sort","variant spelling","Modern","noble sort","English Allison","female","Medieval"
"258","Allystair","Anglicized form of Scottish Gaelic Alastair: defender of mankind","form","Anglicized","defender of mankind","Gaelic Alastair","male","Scottish"
