1: 18th century elaborated form of English Dora, meaning "gift." | female. DORINDA
1: Anglicized form of Hebrew Zabdiy, meaning "the gift of Jehovah. In the bible, this is the name of several characters, including a son of Zerah. | male. ZABDI
1: Anglicized form of Icelandic Amloði, possibly meaning "heavy" or "the dullard." | male. AMLODI
1: Anglicized form of Irish Bríd, meaning "exalted one." | female. BREEDA
1: Anglicized form of Irish Cailín, meaning "girl." | female. CAILYN
1: Anglicized form of Irish Gaelic Anéislis, meaning "careful, thoughtful." | male. STANDISH
1: Anglicized form of Irish Gaelic Árdghal, meaning "high valor." | male. ARDAL
1: Anglicized form of Irish Gaelic Béibhinn, meaning "fair lady." | female. BEVIN
1: Anglicized form of Irish Gaelic Bláthnat, meaning "little flower." | female. BLANID
1: Anglicized form of Irish Gaelic Breándan, meaning "prince." | male. BRENDAN
1: Anglicized form of Irish Gaelic Bríghid, meaning "exalted one." | female. BRIDGET
1: Anglicized form of Irish Gaelic Cailín, meaning "girl." | female. COLLEEN
1: Anglicized form of Irish Gaelic Cailín, meaning "girl." | female. KAYLIN
1: Anglicized form of Irish Gaelic Caitlín, meaning "pure." | female. CAETLIN
1: Anglicized form of Irish Gaelic Caitlín, meaning "pure." | female. CAITLYN
1: Anglicized form of Irish Gaelic Caitlín, meaning "pure." | female. CATHLEEN
1: Anglicized form of Irish Gaelic Caitlín, meaning "pure." | female. KAITLIN
1: Anglicized form of Irish Gaelic Caitlín, meaning "pure." | female. KATHLEEN
1: Anglicized form of Irish Gaelic Caoimhín, meaning "little comely one." | male. KEVIN
1: Anglicized form of Irish Gaelic Cathán, meaning "little battle." | male. KANE
1: Anglicized form of Irish Gaelic Catríona and Scottish Gaelic Catrìona, both meaning "pure." | female. CATRIONA
1: Anglicized form of Irish Gaelic Catríona and Scottish Gaelic Catrìona, both meaning "pure." | female. KATRIONA
1: Anglicized form of Irish Gaelic Cianán, meaning "little ancient one." | male. KEENAN
1: Anglicized form of Irish Gaelic Ciarán, meaning "little black one." | male. CARRAN
1: Anglicized form of Irish Gaelic Ciarán, meaning "little black one." | male. KIARAN
1: Anglicized form of Irish Gaelic Cillín, meaning "little warrior." | male. KILLEEN
1: Anglicized form of Irish Gaelic Cónán, meaning "little hound." | male. CONAN
1: Anglicized form of Irish Gaelic Conláed, meaning "purifying fire." | male. CONLEY
1: Anglicized form of Irish Gaelic Conn, having several possible meanings including "chief, freeman, head, hound, intelligence, strength." Compare with another form of Cornelius. | male. CORNELIUS
1: Anglicized form of Irish Gaelic Conn, having several possible meanings including "chief, freeman, head, hound, intelligence, strength." In Arthurian legend, this is the name of the successor to King Arthur. He was the son of Cador of Cornwall who fought in the Battle of Camlann and was one of the few survivors. Just before Arthur was taken to Avalon, Cador passed the crown onto his son, Constantine. Compare with another form of Constantine. | male. CONSTANTINE
1: Anglicized form of Irish Gaelic Dáire, meaning "fertile, fruitful." | male. DERRY
1: Anglicized form of Irish Gaelic Dáiríne, meaning "fertile, fruitful." | female. DARINA
1: Anglicized form of Irish Gaelic Dáiríne, meaning "fertile, fruitful." | female. DARINA
1: Anglicized form of Irish Gaelic Dara "oak," Dubhdara "black oak," and Dubhaltach "black-haired." English habitational surname transferred to forename use, meaning "Dudda's meadow." | male. DUDLEY
1: Anglicized form of Irish Gaelic Deaglán, meaning "fully good." | male. DECLAN
1: Anglicized form of Irish Gaelic Dónal, meaning "world ruler." | male. DONAL
1: Anglicized form of Irish Gaelic Dubhán, originally a byname from a diminutive of Gaelic dubh, meaning "little black one." | male. DUANE
1: Anglicized form of Irish Gaelic Éamon, meaning "protector of prosperity." | male. EAMON
1: Anglicized form of Irish Gaelic Éanna, meaning "bird-like." | male. ENDA
1: Anglicized form of Irish Gaelic Éibhear, meaning "bow warrior." Compare with another form of Heber. | male. HEBER
1: Anglicized form of Irish Gaelic Éibhear, meaning "bow warrior." Compare with other forms of Eber. | male. EBER
1: Anglicized form of Irish Gaelic Éibhleann, meaning "beauty, radiance."English surname transferred to unisex forename use, derived from the Norman French personal name Aveline, meaning "little Eve." | female. EVELYN
1: Anglicized form of Irish Gaelic Eilín, meaning "beauty, radiance." | female. EILEEN
1: Anglicized form of Irish Gaelic Éirinn, meaning "Ireland." | female. ERIN
1: Anglicized form of Irish Gaelic Eóghan, meaning "born of yew." Compare with another form of Owen. | male. OWEN
1: Anglicized form of Irish Gaelic Eóghan, meaning "born of yew." English form of French Eugène, meaning "well born." | male. EUGENE
1: Anglicized form of Irish Gaelic Étaín, meaning "face" or perhaps "against" or "opposite." | female. EDAIN
1: Anglicized form of Irish Gaelic Faolán, meaning "little wolf." | male. FILLIN
1: Anglicized form of Irish Gaelic Faolán, meaning "little wolf." | male. PHELAN
1: Anglicized form of Irish Gaelic Féidhelm, possibly meaning "hospitable." | female. FIDELMA
1: Anglicized form of Irish Gaelic Féidhlim, possibly meaning "ever good." | male. FELIM
1: Anglicized form of Irish Gaelic Féidhlim, possibly meaning "hospitable."Anglicized form of Greek Philippos (Latin Philippus), meaning "lover of horses." In the bible, this is the name of one of the 12 apostles of Jesus, and several other characters. | male. PHILIP
1: Anglicized form of Irish Gaelic Féidhlim, possibly meaning "hospitable." | male. PHELIM
1: Anglicized form of Irish Gaelic Fíona, meaning "vine." | female. FIONA
1: Anglicized form of Irish Gaelic Flaithrí, meaning "prince-king." Compare with feminine Florry. | male. FLORRY
1: Anglicized form of Irish Gaelic Garbhán, meaning "little rough one." | male. GARVAN
1: Anglicized form of Irish Gaelic Gearóid, "spear ruler." | male. GEARALT
1: Anglicized form of Irish Gaelic ï��irinn, meaning "Ireland." | female. AERYN
1: Anglicized form of Irish Gaelic ï��taï��n, meaning "face." | female. AIDEEN
1: Anglicized form of Irish Gaelic Mainchín, meaning "little monk." | male. MANNIX
1: Anglicized form of Irish Gaelic Máire, meaning "obstinacy, rebelliousness" or "their rebellion." Compare with another form of Maura. | female. MAURA
1: Anglicized form of Irish Gaelic Máire, meaning "obstinacy, rebelliousness" or "their rebellion." | female. MOIRA
1: Anglicized form of Irish Gaelic Máirín, meaning "obstinacy, rebelliousness" or "their rebellion." | female. MAUREEN
1: Anglicized form of Irish Gaelic Mathúin, meaning "bear calf." | male. MAHON
1: Anglicized form of Irish Gaelic Odhrán, meaning "little sallow one." Compare with another form of Oran. | male. ORAN
1: Anglicized form of Irish Gaelic Odhrán, meaning "little sallow one." | male. ODRAN
1: Anglicized form of Irish Gaelic Ó Duinn "descendant of Donn," hence "brown."English surname transferred to forename use, originally a byname for someone with dark hair or a swarthy complexion, from the Middle English element dunn, meaning "dark-colored." | male. DUNN
1: Anglicized form of Irish Gaelic Oisín, meaning "little deer." | male. OSSIAN
1: Anglicized form of Irish Gaelic Órfhlaith, meaning "gold-princess." | female. ORLA
1: Anglicized form of Irish Gaelic Órfhlaith, meaning "gold-princess." | female. ORLAGH
1: Anglicized form of Irish Gaelic Pádraig, meaning "patrician; of noble descent." | male. PATRICK
1: Anglicized form of Irish Gaelic Paidí, meaning "patrician; of noble birth." | male. PADDY
1: Anglicized form of Irish Gaelic Páidín, meaning "little patrician" or "little noble." | male. PADEN
1: Anglicized form of Irish Gaelic Réamann, meaning "wise protector." | male. REDMOND
1: Anglicized form of Irish Gaelic Rórdán, meaning "little poet-king." | male. REARDEN
1: Anglicized form of Irish Gaelic Rórdán, meaning "little poet-king." | male. RIORDAN
1: Anglicized form of Irish Gaelic Ruadhán, meaning "little red one." Compare with another form of Rohan. | male. ROHAN
1: Anglicized form of Irish Gaelic Ruairí, meaning "red king." Anglicized form of Scottish Gaelic Ruaraidh, meaning "red king." | male. RORY
1: Anglicized form of Irish Gaelic Séamus, meaning "supplanter." | male. SHAMUS
1: Anglicized form of Irish Gaelic Seán, meaning "God is gracious." | male. SEAN
1: Anglicized form of Irish Gaelic Seán, meaning "God is gracious." | male. SHANE
1: Anglicized form of Irish Gaelic Síle, meaning "blind." | female. SHEELAGH
1: Anglicized form of Irish Gaelic Síle, meaning "blind." | female. SHEILA
1: Anglicized form of Irish Gaelic Síne, meaning "God is gracious." | female. SHEENA
1: Anglicized form of Irish Gaelic Síne, meaning "God is gracious." | female. SHEENAGH
1: Anglicized form of Irish Gaelic Siobhán, meaning "God is gracious." | female. SHAVONNE
1: Anglicized form of Irish Gaelic Siobhán, meaning "God is gracious." | female. SHEVAUN
1: Anglicized form of Irish Gaelic Tighearnán, meaning "little lord." | male. TIARNAN
1: Anglicized form of Irish Gaelic Tighearnán, meaning "little lord." | male. TIERNAN
1: Anglicized form of Irish Gaelic Ultán, meaning "of Ulster." | male. ULTAN
1: Anglicized form of Irish Gaelic Úna, possibly meaning "famine, hunger." | female. OONA
1: Anglicized form of Irish Gaelic Úna, possibly meaning "famine, hunger." | female. OONAGH
1: Anglicized form of Irish Gaelic Úna, probably meaning "famine, hunger." Compare with another form of Una. | female. UNA
1: Anglicized form of Irish Naomhán, meaning either "little saint." | male. NIVEN
1: Anglicized form of Irish Róisín, meaning "little rose." | female. ROSHEEN
1: Anglicized form of Old Irish Mael-Maedóc, meaning "devotee of Maedóc." | male. MARMADUKE
1: Anglicized form of Old Norse Níðhöggr, meaning "dreaded striker." In mythology, this is the name of a dragon or serpent who gnaws at the roots of the world tree Yggdrasill. | male. NIDHOGG
1: Anglicized form of Old Norse Skíðblaðnir, possibly meaning "wood leaf" or "wood blade." In mythology, this is the name of the magical ship of Freyr, said to be the best of ships. | male. SKIDBLADNIR
1: Anglicized form of Old Norse Verðandi, meaning "present." | female. VERTHANDI
1: Anglicized form of Old Norse Þrúðr, meaning "strength." In mythology, this is the name of a daughter of Thor. | female. THRUD
1: Anglicized form of Scottish Gaelic Cináed, meaning "born of fire." This was probably the first Anglicization.Anglicized form of Irish Gaelic Cainnech, meaning "comely; finely made." | male. KENNETH
1: Anglicized form of Scottish Gaelic Eòghan, meaning "born of yew." | male. EUAN
1: Anglicized form of Scottish Gaelic Eòghan, meaning "born of yew." | male. EWAN
1: Anglicized form of Scottish Gaelic Mac Dhuibhshíthe "son of Duibhshíth," hence "black peace." | male. DUFFY
1: Anglicized form of Scottish Gaelic P� draig, meaning "patrician, of noble descent."English form of Latin Petrus, meaning "rock, stone." In the bible, this is the name of one of Christ's apostles. The name was given by Jesus to Simon son of Jona, to distinguish him from Simon Zelotes. | male. PETER
1: Anglicized form of Scottish Gaelic Seònaid, meaning "God is gracious." | female. SEONA
1: Anglicized form of Scottish Gaelic Seònaid, meaning "God is gracious." | female. SHONA
1: Anglicized form of Scottish Gaelic Sg� ire, meaning "sea-mew," another name for the common seagull.Variant spelling of English Zachary, meaning "whom Jehovah remembered." | male. ZACHERY
1: Anglicized form of Scottish Gaelic Sìoltach, meaning "sowing," i.e., "fruitful, seed-bearing, producing many offspring." | male. SHOLTO
1: Anglicized form of Scottish Gaelic Úna, possibly meaning "famine, hunger." | female. EUNA
1: Anglicized form of Welsh Siân, meaning "God is gracious." Compare with another form of Shan. | female. SHAN
1: Anglicized pet form of Irish Gaelic Mór, meaning "great." Variant spelling of English Maureen, meaning "obstinacy, rebelliousness" or "their rebellion." | female. MOREEN
1: Anglo-Norman diminutive form of French Léon ("lion"), hence "little lion" or "young lion." In Arthurian legend, this is the name of a Knight of the Round Table. He was the younger son of King Bors, and cousin to Lancelot and Hector de Maris. When King Bors died in battle, Lionel and Bors were rescued by the Lady of the Lake and raised by her, along with Lancelot, in her underwater kingdom. | male. LIONEL
1: An Old English dictionary defines ï��glǽca as follows: "wretch,miscreant, monster, demon, fierce enemy, fierce combatant, miserablebeing." In the Anglo-Saxon epic Beowulf, Grendel, Grendel's mother and Beowulf are all three referred to by this name for each is a "fierce combatant." | female. AGLï��CA
1: Another Anglicized form of Hebrew Yehuwdah, meaning "praised." In the bible, this is the name of the brother of James. | male. JUDE
1: Arabic name meaning "joy." | female. FARAH (فراه)
1: Aristocratic title transferred to byname and finally to forename, from Old English eorl, meaning "nobleman, prince, warrior." | male. EARL
1: Arthurian legend name of an island somewhere in the British Isles, where the body of King Arthur is said to be buried, having been brought there by his half-sister Morgan le Fay, and where he is supposed to one day return. The name means "island of apples," from Celtic abal (cf. Welsh afal, Breton and Cornish aval "apple"). | female. AVALON
1: Breton name meaning "rose." | female. ROZENN
1: Byname for a person from the Tyneside region of England, derived from an Old English diminutive form of George, meaning "earth-worker, farmer." | male. GEORDIE
1: Byname for someone with "rust-colored hair," derived from the English vocabulary word rust. | male. RUSTY
1: Celtic Arthurian legend name of a famous King of Britain. The name is of obscure etymology, possibly composed of Welsh art/arth "bear" and Brittonic gur "man," hence "bear-man." The earliest mention of him is in Welsh texts, where he is never called "king," but rather dux bellorum, meaning "war leader." Medieval Welsh texts call him ameraudur "emperor" which could also mean "war leader." In early Welsh works the word art was used as a figurative synonym for "warrior." | male. ARTHUR
1: Celtic legend name of a tragic heroine who committed suicide after the murder of her lover. She is sometimes referred to as Deirdre of the Sorrows. The name is of uncertain derivation. Some sources give the meaning "young girl." | female. DEIRDRE
1: Celtic name composed of the Gaulish elements epos "horse" and epa "mare," hence "horse-mare." In mythology, this is the name of a goddess of horses and fertility. | female. EPONA
1: Character name used by English novelist R.D. Blackmore, possibly of Anglo-Saxon origin, meaning "forlorn, forsaken, lost." | female. LORNA
1: Compare with another form of Griffin. Anglicized form of Irish Gaelic Gríobhtha, meaning "griffin."English name derived from Middle English griffin, meaning "griffin." | male. GRIFFIN
1: Compare with another form of Kent.English surname transferred to forename use, meaning "from Kent."Short form of English Kenton, meaning "Cena's settlement." Also used as a short form of other names beginning with Kent-. | male. KENT
1: Compare with another form of Levi.Anglicized form of Greek Leui (Hebrew Leviy), meaning "adhesion, joined to" or "crown, garland." In the bible, this is the name of several characters, including the third son of Jacob.Anglicized form of Greek Leuis, meaning "joined." In the bible, this is the name of the son of Alphaeus, a collector of customs. | male. LEVI
1: Compare with another form of Merit.English name derived from the vocabulary word, from Latin meritus, meaning "deserving." Variant spelling of English unisex Merritt, meaning "boundary gate." | female. MERIT
1: Compare with another form of Mona.Anglicized form of Irish Gaelic Muadhnait, meaning "little noble one."Short form of English Monica, possibly meaning "advise, counsel." | female. MONA
1: Compare with another form of Rachel.Anglicized form of Scottish Gaelic Raghnaid, meaning "battle counsel."Anglicized form of Greek Rhachel, meaning "ewe." In the bible, this is the name of Jacob's wife. | female. RACHEL
1: Compare with another form of Roy.Short form of English Royal "king" or Royle "rye hill."Scottish Anglicized form of Irish Gaelic Ruadh, meaning "red." | male. ROY
1: Compare with another form of Wynne.English surname transferred to forename use, derived from the Old English personal name Wine, meaning "friend." | male. WYNNE
1: Compare with feminine Florence. Anglicized form of Irish Gaelic Flaithrí, meaning "prince-king."English and French form of Latin Florentius, meaning "blossoming." | male. FLORENCE
1: Compare with feminine Terry.English form of Norman French Thierri, meaning "first of the people; king of nations."Pet form of English Terence, possibly meaning "rub, turn, twist." | male. TERRY
1: Compare with other forms of Hadad.Anglicized form of Hebrew Adad, meaning "I shall move softly: I shall love." In the bible, this is the name of an Edomite enemy God raised up to punish Solomon for his sins.Anglicized form of Hebrew Chadad, meaning "mighty" or "sharpness." In the bible, this is the name of one of the twelve sons of Ishmael. | male. HADAD
1: Compound name composed of English Rebecca "ensnarer" and French Anne "favor, grace." | female. REBECCANNE
1: Cornish and English form of French Degaré, probably meaning "strayed, lost." | male. DIGORY
1: Created by author Edward Bulwer-Lytton for the heroine of his 1834 novel The Last Days of Pompeii, possibly derived from the Latin word nidus, meaning "nest." | female. NYDIA
1: Czech and Polish form of German Bertha, meaning "bright." | female. BERTA
1: Danish form of Greek Aikaterine, meaning "pure." This name was brought to America by Scandinavian settlers. | female. KAREN
1: Diminutive form of English Nan ("favor; grace"), hence "little favorable one" or "little graceful one." | female. NANETTE
1: Diminutive form of English Teague ("poet"), hence "little poet." | male. TEAGAN
1: Diminutive form of French Adï��le, meaning "little noble." | female. ADELINE
1: Diminutive form of French Angèle, meaning "angel, messenger." | female. ANGELINE
1: Diminutive form of French Françoise, meaning "French." | female. FRANCINE
1: Dutch form of Greek Helénē, probably meaning "torch." | female. HELEEN
1: Dutch surname transferred to English unisex forename use, meaning "protection, shelter." | female. SCHUYLER
1: Dutch surname transferred to English unisex forename use, meaning "protection, shelter." | male. SCHUYLER
1: Early English form of Celtic Arthur, possibly meaning "bear-man." | male. ARTUR
1: Early form of Roman Latin Juliana, meaning "descended from Jupiter (Jove)." | female. JILLIAN
1: Egyptian name meaning "peaceful." | female. QUIBILAH
1: Either a Middle English form of Anglo-Saxon ï��thelgyth, meaning"noble war," or a variant spelling of Scottish Gaelic Alyth, meaning "ascending, rising." | female. AILITH
1: Either a variant spelling of English Chanel "pipe" or an elaborated form of English Shan "God is gracious." | female. SHANELLE
1: Either from the Italian city name, of unknown meaning, or a feminine form of English unisex Raven, meaning "raven (the bird)." | female. RAVENNA
1: Elaborated form of English May, a pet form of English Margaret "pearl" and Mary "obstinacy, rebelliousness" or "their rebellion." | female. MAYRA
1: English adopted use of German Avis ("refuge in war"). But its popularity in the Middle Ages was due to its association with the Latin noun avis, meaning "bird." | female. AVIS
1: English and French form of Greek Simōn, meaning "hearkening." In the New Testament bible, this is the name of many characters, including a sorcerer and a brother of Jesus. It is often confused with Simon (2). Greek byname derived from the word simós, meaning "flat- or snub-nosed." In use by the Russians. | male. SIMON
1: English and Scottish name derived from Old Norse Rögnvaldr, meaning "wise ruler." | male. RONALD
1: English and Scottish short form of longer names ending with -ina, such as Christina and Dolina. Compare with another form of Ina. | female. INA
1: English blend of German Carla "man" and English Lisa "God is my oath." | female. CARLISA
1: English byname for a quarrelsome person. It became a surname, then transferred to a forename, derived from Middle English barat, a derivative of barater, meaning "to haggle," hence "haggler." | male. BARRET
1: English byname for someone with splayed feet, transferred to surname then to forename, composed of the Old English elements crawe "crow" and fot "foot," hence "crow-foot." | male. CRAWFORD
1: English compound name composed of Ash "ash tree" and Lyn, "lake," hence "ash tree lake." | female. ASHLYN
1: English compound name composed of Brook "brook, stream" and Lyn "lake." | female. BROOKLYN
1: English compound name composed of Cheri "darling" and Lyn "lake," hence "darling lake." | female. CHERILYN
1: English compound name composed of Dee (having various meanings), and Ann, "favor; grace." | female. DEEANN
1: English compound name composed of Dulcie "sweet" and the Italian word Bella, "beautiful," hence "sweet beauty." | female. DULCIBELLA
1: English compound name composed of English Lys "freer; liberator" and French Anne "favor; grace." | female. LYSANNE
1: English compound name composed of French Anne "favor; grace" and Lisa "God is my oath." | female. ANNELISA
1: English compound name composed of French Christine "believer" or "follower of Christ" and French Belle "beautiful." | female. CHRISTABELLE
1: English compound name composed of French Christine "believer" or "follower of Christ" and Latin Bella "beautiful." | female. CHRISTABELLA
1: English compound name composed of Georgia "earth-worker, farmer" and Anna "favor; grace." | female. GEORGEANNA
1: English compound name composed of Hebrew Sarah "noble lady, princess" and French Jeanne "God is gracious." | female. SARAHJEANNE
1: English compound name composed of Hebrew Sarah "noble lady, princess" and Latin Anna "favor, grace." | female. SARANNA
1: English compound name composed of Jo "God is gracious" and Beth "God is my oath." | female. JOBETH
1: English compound name composed of Latin Anna "favor; grace," and Beth "God is my oath." | female. ANNABETH
1: English compound name composed of Latin Anna "favor; grace," and German Belinda, "beautiful serpent," hence "gracious beautiful serpent." | female. ANNABELINDA
1: English compound name composed of Latin Anna "favor; grace," and Lee "meadow," hence "graceful meadow." | female. ANNALEE
1: English compound name composed of Latin Anna "favor; grace," and Maria "obstinate, rebellious." | female. ANNAMARIA
1: English compound name composed of Latin Anna "favor; grace," and the French word belle "beautiful," hence "gracious beauty." Compare with another form of Annabelle. | female. ANNABELLE
1: English compound name composed of Latin Anna "favor; grace," and the Italian word bella "beautiful," hence "gracious beauty." | female. ANNABELLA
1: English compound name composed of Latin Clara "clear, bright" and Bella "beautiful," hence "bright beauty." | female. CLARABELLA
1: English compound name composed of Latin Clara, "clear; bright," and English Mae "pearl" or "obstinate, rebellious." | female. CLARAMAE
1: English compound name composed of Latin Maria "obstinacy, rebelliousness" or "their rebellion," and Bella "God is my oath" or "beautiful." | female. MARIABELLA
1: English compound name composed of Lea "meadow" and Anna "favor; grace," hence "graceful meadow." | female. LEANNA
1: English compound name composed of Lea "meadow" and Anne "favor; grace," hence "graceful meadow." | female. LEANNE
1: English compound name composed of Lea "meadow" and Ann "favor; grace," hence "graceful meadow." | female. LEANN
1: English compound name composed of Lee "meadow" and Ann "favor; grace," hence "graceful meadow." | female. LEEANN
1: English compound name composed of Lis "God is my oath" and Anne "favor; grace." | female. LISANNE
1: English compound name composed of Lou "famous warrior" and Anna "favor; grace." | female. LOUANNA
1: English compound name composed of Lou "famous warrior" and Ann "favor; grace." | female. LUANN
1: English compound name composed of Mary "obstinacy, rebelliousness" or "their rebellion" and Anna "favor; grace." | female. MARYANNA
